field_1,Tree_Density,Maximum_DBH,Average_DBH,Observed_Biomass,LAT,LON,PLT_CN,original_plot,Temperature_1,SOC_0_5_1,SOC_5_15_1,N_0_5_1,N_5_15_1,Aridity_1,site_index
1,2332,7.7,4.260463122,3710.571002,30.011384,-83.300192,2.02669E+13,46,19.9328537,490,182,1479,574,8936,70
2,707,12.6,8.138896747,5926.017944,28.370523,-81.939054,2.02674E+13,48,21.51011467,576,237,1736,1310,7371,84
3,549,12,8.283424408,4760.996009,26.361986,-81.706611,2.03056E+13,84,23.41387558,559,543,1261,897,7335,71
4,650,14.3,5.621538462,2580.268401,29.781724,-84.839391,2.03199E+13,95,20.06894112,639,247,1331,544,9242,57
5,673,14.8,10.35230312,11062.1719,27.075479,-82.233273,2.03286E+13,98,22.7857666,348,216,1616,1208,7156,67
6,2675,21,3.045420561,7351.224327,30.466538,-86.662431,4.38543E+13,126,19.64860344,398,142,557,248,9964,61
7,615,10.1,7.487804878,4125.106601,26.893072,-81.54038,4.38548E+13,143,22.80924034,923,742,1294,1057,7149,67
8,315,11.3,7.228571429,1957.506853,30.267474,-82.091795,4.38553E+13,151,20.00640678,458,120,1652,510,8325,76
9,330,10.9,7.422727273,2171.117337,25.407655,-80.697138,4.38554E+13,152,24.32198906,1552,1479,1507,1291,7269,52
10,1055,9.5,6.438862559,5000.822104,30.112824,-82.77814,4.38556E+13,156,20.2641468,339,106,1314,175,8423,75
11,920,8.8,6.135869565,3641.579086,29.43473,-81.953819,1.34679E+14,186,20.65817642,497,150,2105,1655,7803,88
12,405,12.6,8.648148148,3947.701448,30.453522,-85.729609,1.34679E+14,193,19.36625099,501,131,1377,428,9930,92
13,315,12.6,9.447619048,4096.96558,30.987832,-85.904303,1.40547E+14,199,18.95273972,395,142,411,86,9086,89
14,915,13,7.209836066,5715.17235,30.111493,-84.589655,1.73003E+14,221,19.72533417,594,145,1320,562,9561,81
15,735,13.4,7.951020408,5941.164481,29.927769,-85.211508,1.7686E+14,237,19.84677505,864,218,1350,707,9882,80
16,1040,12.8,5.811538462,4700.337083,27.736602,-81.612071,2.18218E+14,268,22.34768677,478,472,1451,911,7046,60
17,420,10,7.535714286,2884.770714,30.293606,-83.896925,2.49674E+14,316,19.6550312,737,277,1402,698,9089,91
18,1055,8.6,5.982938389,3805.985743,27.637239,-82.312047,2.49674E+14,332,22.47133255,578,615,1461,868,7219,71
19,575,15.4,7.383478261,5472.621835,28.787191,-80.997773,2.49674E+14,342,21.65648651,646,627,1905,1926,7542,72
20,2550,10.7,2.571764706,2472.975107,28.353406,-81.182144,2.59179E+14,371,22.05259323,685,525,1897,1914,7162,55
